iter	Passed	Remaining
188	267	1146
189	267	1141
190	268	1136
191	268	1131
192	269	1126
193	270	1121
194	270	1117
195	271	1112
196	271	1107
197	272	1102
198	272	1097
199	273	1093
200	273	1088
201	274	1084
202	275	1079
203	275	1075
204	276	1071
205	276	1067
206	277	1063
207	278	1059
208	278	1055
209	279	1050
210	280	1048
211	281	1047
212	282	1044
213	283	1040
214	283	1036
215	284	1032
216	285	1028
217	285	1024
218	286	1020
219	286	1016
220	287	1013
221	287	1009
222	288	1005
223	289	1001
224	289	998
225	290	995
226	291	991
227	291	987
228	292	983
229	292	980
230	293	976
231	293	972
232	294	969
233	295	965
234	295	962
235	296	960
236	297	957
237	297	954
238	298	950
239	299	947
240	299	944
241	300	940
242	300	937
243	301	934
244	302	932
245	304	931
246	304	928
247	305	925
248	305	922
249	306	920
250	307	917
251	308	914
252	308	911
253	309	908
254	309	905
255	310	901
256	311	901
257	312	898
258	313	895
259	313	892
260	314	889
261	314	886
262	315	883
263	315	880
264	316	877
265	316	874
266	317	871
267	318	868
268	318	865
269	319	863
270	319	860
271	320	857
272	321	854
273	321	852
274	322	849
275	322	846
276	323	843
277	323	841
278	324	838
279	324	835
280	325	833
281	326	832
282	327	830
283	328	827
284	329	825
285	329	823
286	330	820
287	330	817
288	331	815
289	331	812
290	332	810
291	333	807
292	333	805
293	334	802
294	334	800
295	335	797
296	335	794
297	336	792
298	336	789
299	337	787
300	338	785
301	338	782
302	339	780
303	339	777
304	340	775
305	341	774
306	342	772
307	342	770
308	343	767
309	343	765
310	344	763
311	344	760
312	345	758
313	346	756
314	346	753
315	347	751
316	347	749
317	348	746
318	348	744
319	349	742
320	349	740
321	350	737
322	351	735
323	351	733
324	352	731
325	352	729
326	353	727
327	353	724
328	354	722
329	354	720
330	355	718
331	356	717
332	357	715
333	357	713
334	358	711
335	359	709
336	359	707
337	360	705
338	360	703
339	361	701
340	361	699
341	362	697
342	362	695
343	363	693
344	364	691
345	364	689
346	365	687
347	365	685
348	366	683
349	367	681
350	367	679
351	368	677
352	368	675
353	369	673
354	369	671
355	370	670
356	371	669
357	372	667
358	372	665
359	373	663
360	373	661
361	374	660
362	375	658
363	375	656
364	376	654
365	376	652
366	377	650
367	377	649
368	378	647
369	379	645
370	379	643
371	380	641
372	380	639
373	381	638
374	381	636
375	382	634
376	382	632
377	383	630
378	383	629
379	384	627
380	385	625
381	386	624
382	386	623
383	387	621
384	388	619
385	388	618
386	389	616
387	389	614
388	390	613
389	390	611
390	391	609
391	392	608
392	392	606
393	393	604
394	393	602
395	394	601
396	394	599
397	395	597
398	395	596
399	396	594
400	397	593
401	397	591
402	398	589
403	398	588
404	399	586
405	399	584
406	400	583
407	401	582
408	401	580
409	402	579
410	403	577
411	403	575
412	404	574
413	404	572
414	405	571
415	405	569
416	406	567
417	406	566
418	407	564
419	407	563
420	408	561
421	408	560
422	409	558
423	409	556
424	410	555
425	411	553
426	411	552
427	412	550
428	412	549
429	413	547
430	413	546
431	414	544
432	414	543
433	415	541
434	416	540
435	416	539
436	417	537
437	417	536
438	418	534
439	419	533
440	419	531
441	420	530
442	420	529
443	421	527
444	421	526
445	422	524
446	423	523
447	423	522
448	424	520
449	424	519
450	425	517
451	425	516
452	426	514
453	426	513
454	427	512
455	428	510
456	428	509
457	429	507
458	429	506
459	430	505
460	431	503
461	431	502
462	432	501
463	432	499
464	433	498
465	433	497
466	434	495
467	434	494
468	435	493
469	436	491
470	436	490
471	437	489
472	437	487
473	438	486
474	439	485
475	439	483
476	440	482
477	440	481
478	441	479
479	441	478
480	442	477
481	442	476
482	443	474
483	444	473
484	444	472
485	445	470
486	445	469
487	446	468
488	447	467
489	447	465
490	448	464
491	448	463
492	449	461
493	449	460
